[DOMAIN:标签] [CAT:环境/天空] sky | 天空
[DOMAIN:标签] [CAT:环境/大自然] sand | 沙子
[DOMAIN:标签] [CAT:环境/大自然] mountain | 山峦
[DOMAIN:标签] [CAT:环境/大自然] branch | 树枝
[DOMAIN:标签] [CAT:环境/大自然] palm_tree | 棕榈树
[DOMAIN:标签] [CAT:环境/大自然] falling_petals | 飘落花瓣
[DOMAIN:标签] [CAT:环境/水] underwater | 水下
[DOMAIN:标签] [CAT:环境/天空] horizon | 地平线
[DOMAIN:标签] [CAT:环境/天空] sun | 太阳
[DOMAIN:标签] [CAT:环境/氛围] electricity | 电流
[DOMAIN:标签] [CAT:环境/大自然] bush | 灌木丛
[DOMAIN:标签] [CAT:环境/天空] space | 太空
[DOMAIN:标签] [CAT:环境/天气] wind_lift | 风掀
[DOMAIN:标签] [CAT:环境/氛围] dark | 黑暗
[DOMAIN:标签] [CAT:环境/季节] autumn_leaves | 秋叶
[DOMAIN:标签] [CAT:环境/水] air_bubble | 气泡
[DOMAIN:标签] [CAT:环境/大自然] field | 田野
[DOMAIN:标签] [CAT:环境/大自然] shrub | 灌木丛
[DOMAIN:标签] [CAT:环境/天气] snowflakes | 雪花
[DOMAIN:标签] [CAT:环境/氛围] fireworks | 烟花
[DOMAIN:标签] [CAT:环境/天空] crescent_moon | 新月
[DOMAIN:标签] [CAT:环境/季节] winter | 冬季
[DOMAIN:标签] [CAT:环境/季节] summer | 夏季
[DOMAIN:标签] [CAT:环境/天气] sunbeam | 阳光光束
[DOMAIN:标签] [CAT:环境/天气] dappled_sunlight | 斑驳阳光
[DOMAIN:标签] [CAT:环境/水] ripples | 涟漪
[DOMAIN:标签] [CAT:环境/天空] planet | 行星
[DOMAIN:标签] [CAT:环境/天气] raining | 下雨
[DOMAIN:标签] [CAT:环境/天空] rainbow | 彩虹
[DOMAIN:标签] [CAT:环境/大自然] bare_tree | 枯树
[DOMAIN:标签] [CAT:环境/大自然] flower_field | 花田
[DOMAIN:标签] [CAT:环境/大自然] planted | 栽种
[DOMAIN:标签] [CAT:环境/氛围] evening | 傍晚
[DOMAIN:标签] [CAT:环境/氛围] romantic_ambiance | 浪漫氛围
[DOMAIN:标签] [CAT:环境/水] river | 河流
[DOMAIN:标签] [CAT:环境/大自然] falling_leaves | 飘落树叶
[DOMAIN:标签] [CAT:环境/氛围] blue_fire | 蓝色火焰
[DOMAIN:标签] [CAT:环境/水] waves | 波浪
[DOMAIN:标签] [CAT:环境/季节] autumn | 秋季
[DOMAIN:标签] [CAT:环境/天气] hot | 火热
[DOMAIN:标签] [CAT:环境/天气] lightning | 闪电
[DOMAIN:标签] [CAT:环境/天空] gradient_sky | 渐变天空
[DOMAIN:标签] [CAT:环境/大自然] landscape | 风景
[DOMAIN:标签] [CAT:环境/水] waterfall | 瀑布
[DOMAIN:标签] [CAT:环境/水] puddle | 水洼
[DOMAIN:标签] [CAT:环境/天空] orange_sky | 橙色天空
[DOMAIN:标签] [CAT:环境/天空] shooting_star | 流星
[DOMAIN:标签] [CAT:环境/水] lake | 湖泊
[DOMAIN:标签] [CAT:环境/天气] fog | 雾气
[DOMAIN:标签] [CAT:环境/天空] earth_(planet) | 地球（行星）
[DOMAIN:标签] [CAT:环境/天空] constellation | 星座
[DOMAIN:标签] [CAT:环境/天空] red_moon | 红月
[DOMAIN:标签] [CAT:环境/天空] grey_sky | 灰色天空
[DOMAIN:标签] [CAT:环境/云] contrail | 航迹云
[DOMAIN:标签] [CAT:环境/氛围] embers | 余烬
[DOMAIN:标签] [CAT:环境/氛围] stage_lights | 舞台灯光
[DOMAIN:标签] [CAT:环境/水] reflective_water | 反光水面
[DOMAIN:标签] [CAT:环境/氛围] dusk | 黄昏
[DOMAIN:标签] [CAT:环境/水] submerged | 水下
[DOMAIN:标签] [CAT:环境/氛围] darkness | 黑暗
[DOMAIN:标签] [CAT:环境/大自然] hill | 山丘
[DOMAIN:标签] [CAT:环境/大自然] bamboo_forest | 竹林
[DOMAIN:标签] [CAT:环境/天空] purple_sky | 紫色天空
[DOMAIN:标签] [CAT:环境/大自然] moss | 苔藓
[DOMAIN:标签] [CAT:环境/大自然] desert | 沙漠
[DOMAIN:标签] [CAT:环境/天气] cold | 寒冷
[DOMAIN:标签] [CAT:环境/天空] moonlight | 月光
[DOMAIN:标签] [CAT:环境/氛围] light_beam | 光束
[DOMAIN:标签] [CAT:环境/天气] tatsumaki | 龙卷风
[DOMAIN:标签] [CAT:环境/天空] sunrise | 日出
[DOMAIN:标签] [CAT:环境/大自然] cliff | 悬崖
[DOMAIN:标签] [CAT:环境/天空] red_sky | 赤色天空
[DOMAIN:标签] [CAT:环境/大自然] tree_shade | 树荫
[DOMAIN:标签] [CAT:环境/天气] dust | 灰尘
[DOMAIN:标签] [CAT:环境/大自然] footprints | 脚印
[DOMAIN:标签] [CAT:环境/大自然] cave | 洞穴
[DOMAIN:标签] [CAT:环境/云] cumulonimbus_cloud | 积雨云
[DOMAIN:标签] [CAT:环境/氛围] sparks | 火花
[DOMAIN:标签] [CAT:环境/氛围] caustics | 腐蚀剂
[DOMAIN:标签] [CAT:环境/氛围] falling_feathers | 飘落羽毛
[DOMAIN:标签] [CAT:环境/季节] year_of_the_ox | 牛年
[DOMAIN:标签] [CAT:环境/氛围] morning | 清晨
[DOMAIN:标签] [CAT:环境/水] pond | 池塘
[DOMAIN:标签] [CAT:环境/天气] overcast | 阴天
[DOMAIN:标签] [CAT:环境/季节] spring_(season) | 春季（季节）
[DOMAIN:标签] [CAT:环境/大自然] overgrown | 过度生长
[DOMAIN:标签] [CAT:环境/季节] setsubun | 节分
[DOMAIN:标签] [CAT:环境/水] shallow_water | 浅水
[DOMAIN:标签] [CAT:环境/季节] tanabata | 七夕
[DOMAIN:标签] [CAT:环境/大自然] tree_stump | 树桩
[DOMAIN:标签] [CAT:环境/天气] dust_cloud | 尘云
[DOMAIN:标签] [CAT:环境/大自然] foliage | 枝叶
[DOMAIN:标签] [CAT:环境/氛围] purple_fire | 紫色火焰
[DOMAIN:标签] [CAT:环境/大自然] sunflower_field | 向日葵花田
[DOMAIN:标签] [CAT:环境/大自然] pink_petals | 粉色花瓣
[DOMAIN:标签] [CAT:环境/水] in_water | 水中
[DOMAIN:标签] [CAT:环境/大自然] lava | 熔岩
[DOMAIN:标签] [CAT:环境/天空] pink_sky | 粉色天空
[DOMAIN:标签] [CAT:环境/天空] yellow_sky | 黄色天空
[DOMAIN:标签] [CAT:环境/大自然] petals_on_liquid | 液面花瓣
[DOMAIN:标签] [CAT:环境/水] stream | 溪流
[DOMAIN:标签] [CAT:环境/天空] earth | 地球
[DOMAIN:标签] [CAT:环境/大自然] island | 岛屿
[DOMAIN:标签] [CAT:环境/天空] huge_moon | 巨型月亮
[DOMAIN:标签] [CAT:环境/季节] bunny_day | 兔子日
[DOMAIN:标签] [CAT:环境/氛围] ambience_synesthesia | 环境联觉
[DOMAIN:标签] [CAT:环境/季节] chinese_new_year | 春节
[DOMAIN:标签] [CAT:环境/天空] clear_sky | 晴空
[DOMAIN:标签] [CAT:环境/大自然] swamp | 沼泽
[DOMAIN:标签] [CAT:环境/天气] snowflake | 雪花
[DOMAIN:标签] [CAT:环境/天空] black_sky | 黑色天空
[DOMAIN:标签] [CAT:环境/大自然] floating_island | 浮空岛
[DOMAIN:标签] [CAT:环境/天空] galaxy | 银河
[DOMAIN:标签] [CAT:环境/氛围] blood_on_ground | 地面血迹
[DOMAIN:标签] [CAT:环境/季节] year_of_the_rat | 鼠年
[DOMAIN:标签] [CAT:环境/氛围] aurora | 极光
[DOMAIN:标签] [CAT:环境/大自然] dirt | 泥土
[DOMAIN:标签] [CAT:环境/天空] above_clouds | 云端之上
[DOMAIN:标签] [CAT:环境/水] foam | 泡沫
[DOMAIN:标签] [CAT:环境/天空] white_sky | 白色天空
[DOMAIN:标签] [CAT:环境/天气] snowflake_background | 雪花背景
[DOMAIN:标签] [CAT:环境/天空] milky_way | 银河
[DOMAIN:标签] [CAT:环境/水] dolphin_wave | 海豚波浪
[DOMAIN:标签] [CAT:环境/天空] nebula | 星云
[DOMAIN:标签] [CAT:环境/大自然] mount_fuji | 富士山
[DOMAIN:标签] [CAT:环境/天气] storm | 暴风雨
[DOMAIN:标签] [CAT:环境/氛围] dawn | 黎明
[DOMAIN:标签] [CAT:环境/大自然] grass_field | 草地
[DOMAIN:标签] [CAT:环境/季节] season_connection | 季节联结
[DOMAIN:标签] [CAT:环境/季节] hanami | 赏花
[DOMAIN:标签] [CAT:环境/天气] condensation | 冷凝
[DOMAIN:标签] [CAT:环境/天气] rust | 锈蚀
[DOMAIN:标签] [CAT:环境/天空] meteor_shower | 流星雨
[DOMAIN:标签] [CAT:环境/氛围] green_fire | 绿色火焰
[DOMAIN:标签] [CAT:环境/大自然] volcano | 火山
[DOMAIN:标签] [CAT:环境/氛围] afterglow | 余晖
[DOMAIN:标签] [CAT:环境/天空] moon_phases | 月相
[DOMAIN:标签] [CAT:环境/大自然] rice_paddy | 稻田
[DOMAIN:标签] [CAT:环境/天气] steamy_breath | 蒸汽呼吸
[DOMAIN:标签] [CAT:环境/水] dripping_wet | 湿身滴水
[DOMAIN:标签] [CAT:环境/大自然] wheat_field | 麦田
[DOMAIN:标签] [CAT:环境/大自然] meadow | 草地
[DOMAIN:标签] [CAT:环境/云] dark_clouds | 乌云
[DOMAIN:标签] [CAT:环境/天空] black_hole | 黑洞
[DOMAIN:标签] [CAT:环境/大自然] mud | 泥泞
[DOMAIN:标签] [CAT:环境/季节] year_of_the_pig | 猪年
[DOMAIN:标签] [CAT:环境/季节] year_of_the_dog | 狗年
[DOMAIN:标签] [CAT:环境/天空] comet | 彗星
[DOMAIN:标签] [CAT:环境/天空] green_sky | 绿色天空
[DOMAIN:标签] [CAT:环境/天空] eclipse | 蚀
[DOMAIN:标签] [CAT:环境/氛围] blood_pool | 血池
[DOMAIN:标签] [CAT:环境/云] xiangyun | 祥云
[DOMAIN:标签] [CAT:环境/水] wet_floor | 湿地
[DOMAIN:标签] [CAT:环境/氛围] pink_fire | 粉色火焰
[DOMAIN:标签] [CAT:环境/大自然] roots | treeroots
[DOMAIN:标签] [CAT:环境/大自然] hedge | 树篱
[DOMAIN:标签] [CAT:环境/大自然] ginkgo_tree | 银杏树
[DOMAIN:标签] [CAT:环境/大自然] riverbank | 河岸
[DOMAIN:标签] [CAT:环境/天气] icicle | 冰锥
[DOMAIN:标签] [CAT:环境/水] on_water | 水上
[DOMAIN:标签] [CAT:环境/大自然] tall_grass | 高草丛
[DOMAIN:标签] [CAT:环境/天空] inseki | 陨石
[DOMAIN:标签] [CAT:环境/天空] on_crescent | 新月之上
[DOMAIN:标签] [CAT:环境/天空] red_sun | 红日
[DOMAIN:标签] [CAT:环境/天气] snow_on_head | 头顶积雪
[DOMAIN:标签] [CAT:环境/大自然] coral_reef | 珊瑚礁
[DOMAIN:标签] [CAT:环境/天空] blood_moon | 血月
[DOMAIN:标签] [CAT:环境/大自然] crater | 陨石坑
[DOMAIN:标签] [CAT:环境/天空] meteor | 流星
[DOMAIN:标签] [CAT:环境/天空] saturn_(planet) | 土星（行星）
[DOMAIN:标签] [CAT:环境/天空] starry_sky_background | 星空背景
[DOMAIN:标签] [CAT:环境/天空] multicolored_sky | 七彩天空
[DOMAIN:标签] [CAT:环境/大自然] falling_flower | 落花
[DOMAIN:标签] [CAT:环境/大自然] glowing_petals | 发光花瓣
[DOMAIN:标签] [CAT:环境/天空] planetary_ring | 行星环
[DOMAIN:标签] [CAT:环境/大自然] ice_crystal | 冰晶
[DOMAIN:标签] [CAT:环境/天空] star_trail | 星轨
[DOMAIN:标签] [CAT:环境/氛围] crack_of_light | 光芒裂隙
[DOMAIN:标签] [CAT:环境/大自然] wetland | 湿地
[DOMAIN:标签] [CAT:环境/水] flood | 洪水
[DOMAIN:标签] [CAT:环境/水] dew_drop | 露珠
[DOMAIN:标签] [CAT:环境/大自然] canyon | 峡谷
[DOMAIN:标签] [CAT:环境/天空] asteroid | 小行星
[DOMAIN:标签] [CAT:环境/大自然] grasslands | 草原
[DOMAIN:标签] [CAT:环境/天气] muddy | 泥泞
[DOMAIN:标签] [CAT:环境/天空] yellow_moon | 黄月
[DOMAIN:标签] [CAT:环境/季节] natu | 夏
[DOMAIN:标签] [CAT:环境/天空] big_dipper | 北斗七星
[DOMAIN:标签] [CAT:环境/天空] sky_background | 天空背景
[DOMAIN:标签] [CAT:环境/大自然] vegetation | 植被
[DOMAIN:标签] [CAT:环境/天空] on_moon | 月上
[DOMAIN:标签] [CAT:环境/氛围] bonfire | 篝火
[DOMAIN:标签] [CAT:环境/天气] twister | 龙卷风
[DOMAIN:标签] [CAT:环境/氛围] will-o'-the-wisp_(mythology) | 鬼火（神话）
[DOMAIN:标签] [CAT:环境/天空] gemini_(constellation) | 双子座（星座）
[DOMAIN:标签] [CAT:环境/天气] weather_report | 天气预报
[DOMAIN:标签] [CAT:环境/氛围] black_surge_night | 黑色浪潮之夜
[DOMAIN:标签] [CAT:环境/天空] starry_moon | 星月
[DOMAIN:标签] [CAT:环境/季节] everlasting_summer | 永恒夏日
[DOMAIN:标签] [CAT:环境/云] on_cloud | 在云端
[DOMAIN:标签] [CAT:环境/大自然] giant_tree | 巨树
[DOMAIN:标签] [CAT:环境/大自然] stalactite | 钟乳石
[DOMAIN:标签] [CAT:环境/大自然] valley | 山谷
[DOMAIN:标签] [CAT:环境/天气] sun_glare | 太阳眩光
[DOMAIN:标签] [CAT:环境/云] pink_clouds | 粉色云朵
[DOMAIN:标签] [CAT:环境/天空] cancer_(constellation) | 巨蟹座（星座）
[DOMAIN:标签] [CAT:环境/氛围] bioluminescence | 生物发光
[DOMAIN:标签] [CAT:环境/氛围] peaceful | 宁静
[DOMAIN:标签] [CAT:环境/天空] libra_(constellation) | 天秤座（星座）
[DOMAIN:标签] [CAT:环境/天气] tornado | 龙卷风
[DOMAIN:标签] [CAT:环境/天气] blizzard | 暴雪
[DOMAIN:标签] [CAT:环境/天气] after_rain | 雨后
[DOMAIN:标签] [CAT:环境/天空] taurus_(constellation) | 金牛座（星座）
[DOMAIN:标签] [CAT:环境/天空] multiple_moons | 多重月亮
[DOMAIN:标签] [CAT:环境/天空] brown_sky | 褐色天空
[DOMAIN:标签] [CAT:环境/大自然] ancient | 远古
[DOMAIN:标签] [CAT:环境/水] seafloor | 海底
[DOMAIN:标签] [CAT:环境/季节] seasons | 季节
[DOMAIN:标签] [CAT:环境/天气] lightning_glare | 闪电眩光
[DOMAIN:标签] [CAT:环境/天空] solar_eclipse | 日食
[DOMAIN:标签] [CAT:环境/云] cloud_focus | 云朵焦点
[DOMAIN:标签] [CAT:环境/季节] august | 八月
[DOMAIN:标签] [CAT:环境/氛围] fire_background | 火焰背景
[DOMAIN:标签] [CAT:环境/季节] july | 七月
[DOMAIN:标签] [CAT:环境/天空] jupiter_(planet) | 木星（行星）
[DOMAIN:标签] [CAT:环境/季节] mid-autumn_festival | 中秋节
[DOMAIN:标签] [CAT:环境/大自然] soil | 土壤
[DOMAIN:标签] [CAT:环境/天气] soaked | 浸透
[DOMAIN:标签] [CAT:环境/天空] sagittarius_(constellation) | 射手座（星座）
[DOMAIN:标签] [CAT:环境/季节] april | 四月
[DOMAIN:标签] [CAT:环境/水] droplets | 水滴
[DOMAIN:标签] [CAT:环境/天气] thunder | 雷霆
[DOMAIN:标签] [CAT:环境/季节] year_of_the_goat | 羊年
[DOMAIN:标签] [CAT:环境/季节] december | 十二月
[DOMAIN:标签] [CAT:环境/季节] day_and_night | 昼夜
[DOMAIN:标签] [CAT:环境/季节] november | 十一月
[DOMAIN:标签] [CAT:环境/季节] october | 十月
[DOMAIN:标签] [CAT:环境/天空] mushroom_cloud | 蘑菇云
[DOMAIN:标签] [CAT:环境/氛围] hell | 地狱
[DOMAIN:标签] [CAT:环境/天空] orbital_path | 轨道
[DOMAIN:标签] [CAT:环境/氛围] fumes | 烟雾
[DOMAIN:标签] [CAT:环境/天空] mars_(planet) | 火星（行星）
[DOMAIN:标签] [CAT:环境/天空] blue_moon | 蓝色月亮
[DOMAIN:标签] [CAT:环境/季节] march | 三月
[DOMAIN:标签] [CAT:环境/天空] gibbous_moon | 凸月
[DOMAIN:标签] [CAT:环境/天空] broken_moon | 破碎之月
[DOMAIN:标签] [CAT:环境/氛围] green_light | 绿灯
[DOMAIN:标签] [CAT:环境/季节] february | 二月
[DOMAIN:标签] [CAT:环境/云] orange_clouds | 橘色云彩
[DOMAIN:标签] [CAT:环境/季节] january | 一月
[DOMAIN:标签] [CAT:环境/天空] falling_star | 流星
[DOMAIN:标签] [CAT:环境/季节] september | 九月
[DOMAIN:标签] [CAT:环境/天气] rain_world | 雨世界
[DOMAIN:标签] [CAT:环境/水] misty_lake | 雾之湖
[DOMAIN:标签] [CAT:环境/天气] red_lightning | 红色闪电
[DOMAIN:标签] [CAT:环境/大自然] stalagmite | 石笋
[DOMAIN:标签] [CAT:环境/大自然] iceberg | 冰山
[DOMAIN:标签] [CAT:环境/水] marine_day | 海洋日
[DOMAIN:标签] [CAT:环境/水] sea_spray | 海沫
[DOMAIN:标签] [CAT:环境/水] boiling | 沸腾
[DOMAIN:标签] [CAT:环境/天气] frost | 霜
[DOMAIN:标签] [CAT:环境/天空] pink_moon | 粉红月亮
[DOMAIN:标签] [CAT:环境/天空] solar_system | 太阳系
[DOMAIN:标签] [CAT:环境/氛围] red_fire | 红色火焰
[DOMAIN:标签] [CAT:环境/水] frozen_lake | 冰封湖面
[DOMAIN:标签] [CAT:环境/云] red_clouds | 赤云
[DOMAIN:标签] [CAT:环境/大自然] glacier | 冰川
[DOMAIN:标签] [CAT:环境/大自然] withered | 枯萎
[DOMAIN:标签] [CAT:环境/氛围] golden_hour | 黄金时刻
[DOMAIN:标签] [CAT:环境/天空] venus_(planet) | 金星（行星）
[DOMAIN:标签] [CAT:环境/季节] sakura_no_toki | 樱之时
[DOMAIN:标签] [CAT:环境/云] cloud_background | 云朵背景
[DOMAIN:标签] [CAT:环境/大自然] fallen_tree | 倒下的树
[DOMAIN:标签] [CAT:环境/氛围] rotting | 腐烂
[DOMAIN:标签] [CAT:环境/水] seascape | 海景
[DOMAIN:标签] [CAT:环境/天气] silver_rain | 银雨
[DOMAIN:标签] [CAT:环境/天空] universe | 宇宙
[DOMAIN:标签] [CAT:环境/水] vortex | 漩涡
[DOMAIN:标签] [CAT:环境/天气] snow_on_body | 身披积雪
[DOMAIN:标签] [CAT:环境/天气] snowstorm | 暴风雪
[DOMAIN:标签] [CAT:环境/大自然] birch_tree | 白桦树
[DOMAIN:标签] [CAT:环境/天空] shooting_star_(symbol) | 流星（符号）
[DOMAIN:标签] [CAT:环境/大自然] snow_on_tree | 树梢积雪
[DOMAIN:标签] [CAT:环境/氛围] eruption | 喷发
[DOMAIN:标签] [CAT:环境/天气] lightning_background | 闪电背景
[DOMAIN:标签] [CAT:环境/云] storm_cloud | 风暴云
[DOMAIN:标签] [CAT:环境/天气] temperature | 温度
[DOMAIN:标签] [CAT:环境/天空] neptune_(planet) | 海王星（行星）
[DOMAIN:标签] [CAT:环境/水] red_ocean | 红色海洋
[DOMAIN:标签] [CAT:环境/水] dripping_water | 滴水
[DOMAIN:标签] [CAT:环境/氛围] kurai_yonaka | 暗夜
[DOMAIN:标签] [CAT:环境/氛围] komorebi | 木漏れ日
[DOMAIN:标签] [CAT:环境/大自然] sand_dune | 沙丘
[DOMAIN:标签] [CAT:环境/天空] starless | 无星之夜
[DOMAIN:标签] [CAT:环境/氛围] floodlights | 泛光灯
[DOMAIN:标签] [CAT:环境/氛围] hizashi_no_naka_no_real | 阳光中的真实
[DOMAIN:标签] [CAT:环境/天空] sky_mirage | 天空蜃景
[DOMAIN:标签] [CAT:环境/天气] sandstorm | 沙尘暴
[DOMAIN:标签] [CAT:环境/天空] orange_moon | 橙月
[DOMAIN:标签] [CAT:环境/水] moon_reflection | 月映
[DOMAIN:标签] [CAT:环境/天空] uranus_(planet) | 天王星（行星）
[DOMAIN:标签] [CAT:环境/水] whirlpool | 漩涡
[DOMAIN:标签] [CAT:环境/天空] m87_black_hole | M87黑洞
[DOMAIN:标签] [CAT:环境/天空] purple_moon | 紫月
[DOMAIN:标签] [CAT:环境/天气] natsu_no_ame | 夏雨
[DOMAIN:标签] [CAT:环境/季节] obon | 孟兰盆节
[DOMAIN:标签] [CAT:环境/天空] mooning | 月光映照
[DOMAIN:标签] [CAT:环境/大自然] harvest | 丰收
[DOMAIN:标签] [CAT:环境/季节] thanksgiving | 感恩节
[DOMAIN:标签] [CAT:环境/天空] sky_(sky-freedom) | 天空（自由之空）
[DOMAIN:标签] [CAT:环境/氛围] decay | 衰败
[DOMAIN:标签] [CAT:环境/大自然] gravel | 砾石
[DOMAIN:标签] [CAT:环境/天气] symphonic_rain | 交响雨
[DOMAIN:标签] [CAT:环境/大自然] sand_on_skin | 肌肤上的沙
[DOMAIN:标签] [CAT:环境/天空] sunset_(porforever) | 日落（永恒之港）
[DOMAIN:标签] [CAT:环境/云] blue_clouds | 青云
[DOMAIN:标签] [CAT:环境/氛围] money_rain | 金钱雨
[DOMAIN:标签] [CAT:环境/水] foaming_waves | 泡沫浪花
[DOMAIN:标签] [CAT:环境/水] blood_in_water | 水中血
[DOMAIN:标签] [CAT:环境/天气] raining_blood | 血雨
[DOMAIN:标签] [CAT:环境/天气] purple_lightning | 紫色闪电
[DOMAIN:标签] [CAT:环境/氛围] heaven_(kanji) | 天（汉字）
[DOMAIN:标签] [CAT:环境/云] black_cloud | 乌云
[DOMAIN:标签] [CAT:环境/天空] under_the_moon | 月下
[DOMAIN:标签] [CAT:环境/天气] moshimo_ashita_ga_hare_naraba | 如果明天放晴
[DOMAIN:标签] [CAT:环境/云] loud_cloud | 响云
[DOMAIN:标签] [CAT:环境/天气] smog | 烟雾
[DOMAIN:标签] [CAT:环境/天气] drenched | 湿透
[DOMAIN:标签] [CAT:环境/氛围] golden_time | 黄金时刻
[DOMAIN:标签] [CAT:环境/大自然] leaf_pile | 落叶堆
[DOMAIN:标签] [CAT:环境/云] yellow_clouds | 黄云
[DOMAIN:标签] [CAT:环境/云] purple_clouds | 紫云
[DOMAIN:标签] [CAT:环境/天空] new_moon | 新月
[DOMAIN:标签] [CAT:环境/大自然] leaf_on_liquid | 液面浮叶
[DOMAIN:标签] [CAT:环境/天空] dark_nebula | 暗星云
[DOMAIN:标签] [CAT:环境/天气] maomaoyu | 毛毛雨
[DOMAIN:标签] [CAT:环境/水] ocean_floor | 海底
[DOMAIN:标签] [CAT:环境/大自然] mountaintop | 山顶
[DOMAIN:标签] [CAT:环境/天气] warming | 升温
[DOMAIN:标签] [CAT:环境/氛围] fire_light | 火光
[DOMAIN:标签] [CAT:环境/水] wet_ground | 潮湿地面
[DOMAIN:标签] [CAT:环境/氛围] onibi | 鬼火
[DOMAIN:标签] [CAT:环境/天气] white_breath | 白色吐息
[DOMAIN:标签] [CAT:环境/水] pink_water | 粉红水
[DOMAIN:标签] [CAT:环境/水] tidal_wave | 潮汐波
[DOMAIN:标签] [CAT:环境/氛围] nuclear_explosion | 核爆炸
[DOMAIN:标签] [CAT:环境/天气] weather | 天气
[DOMAIN:标签] [CAT:环境/天气] whirlwind | 旋风
[DOMAIN:标签] [CAT:环境/氛围] blood_on_snow | 雪上血迹
[DOMAIN:标签] [CAT:环境/氛围] orange_fire | 橙色火焰
[DOMAIN:标签] [CAT:环境/大自然] iceburg | 冰山
[DOMAIN:标签] [CAT:环境/水] nami_no_manimani | 波浪的层层叠叠
[DOMAIN:标签] [CAT:环境/天气] haze/reverb | 雾霾/混响
[DOMAIN:标签] [CAT:环境/大自然] ravine | 峡谷
[DOMAIN:标签] [CAT:环境/天空] moon_(symbol) | 月亮（符号）
[DOMAIN:标签] [CAT:环境/氛围] stadium_lights | 体育场灯光
[DOMAIN:标签] [CAT:环境/氛围] midd_night | 午夜
[DOMAIN:标签] [CAT:环境/水] ice_floe | 浮冰
[DOMAIN:标签] [CAT:环境/大自然] quicksand | 流沙
[DOMAIN:标签] [CAT:环境/天气] snow_print | 雪地印记
[DOMAIN:标签] [CAT:环境/氛围] pollution | 污染
[DOMAIN:标签] [CAT:环境/氛围] dappled_moonlight | 斑驳月光
[DOMAIN:标签] [CAT:环境/天空] wormhole | 虫洞
[DOMAIN:标签] [CAT:环境/季节] lunar_new_year | 农历新年
[DOMAIN:标签] [CAT:环境/季节] aki_no_jikan | 秋之时
[DOMAIN:标签] [CAT:环境/大自然] lawn | 草坪
[DOMAIN:标签] [CAT:环境/氛围] yellow_fire | 黄色火焰
[DOMAIN:标签] [CAT:环境/天气] dust_particles | 尘粒
[DOMAIN:标签] [CAT:环境/大自然] earth_manipulation | 大地操控
[DOMAIN:标签] [CAT:环境/云] pink_cloud | 粉色云朵
[DOMAIN:标签] [CAT:环境/季节] qixi_festival | 七夕节
[DOMAIN:标签] [CAT:环境/水] choppy | 波涛汹涌
[DOMAIN:标签] [CAT:环境/天空] moon_(game) | 月亮（游戏）
[DOMAIN:标签] [CAT:环境/季节] summer_days | 夏日时光
[DOMAIN:标签] [CAT:环境/大自然] prairie | 草原
[DOMAIN:标签] [CAT:环境/大自然] fuji-san | 富士山
[DOMAIN:标签] [CAT:环境/天空] rising_sun | 旭日
