[DOMAIN:标签] [CAT:二次元角色/作品] touhou | 东方
[DOMAIN:标签] [CAT:二次元角色/作品] honkai_impact_3rd | 崩坏3
[DOMAIN:标签] [CAT:二次元角色/作品] boku_no_hero_academia | 我的英雄学院
[DOMAIN:标签] [CAT:二次元角色/作品] shameimaru_aya | 射命丸文
[DOMAIN:标签] [CAT:二次元角色/作品] neon_genesis_evangelion | 新世纪福音战士
[DOMAIN:标签] [CAT:二次元角色/作品] league_of_legends | 英雄联盟
[DOMAIN:标签] [CAT:二次元角色/作品] the_legend_of_zelda | 塞尔达传说
[DOMAIN:标签] [CAT:二次元角色/作品] pokemon_swsh | 宝可梦 剑/盾
[DOMAIN:标签] [CAT:二次元角色/作品] yu-gi-oh! | 游戏王！
[DOMAIN:标签] [CAT:二次元角色/作品] reisen_udongein_inaba | 铃仙·优昙华院·因幡
[DOMAIN:标签] [CAT:二次元角色/作品] fujiwara_no_mokou | 藤原妹红
[DOMAIN:标签] [CAT:二次元角色/作品] final_fantasy_vii | 最终幻想VII
[DOMAIN:标签] [CAT:二次元角色/作品] akemi_homura | 晓美焰
[DOMAIN:标签] [CAT:二次元角色/作品] k-on! | 轻音少女！
[DOMAIN:标签] [CAT:二次元角色/作品] komeiji_satori | 古明地觉
[DOMAIN:标签] [CAT:二次元角色/角色] splatoon_(series) | 喷射战士（系列）
[DOMAIN:标签] [CAT:二次元角色/作品] kaname_madoka | 鹿目圆
[DOMAIN:标签] [CAT:二次元角色/作品] fire_emblem_heroes | 火焰纹章英雄
[DOMAIN:标签] [CAT:二次元角色/作品] street_fighter | 街头霸王
[DOMAIN:标签] [CAT:二次元角色/作品] hong_meiling | 红美铃
[DOMAIN:标签] [CAT:二次元角色/作品] chainsaw_man | 电锯人
[DOMAIN:标签] [CAT:二次元角色/元数据] borrowed_character | 借用角色
[DOMAIN:标签] [CAT:二次元角色/作品] lyrical_nanoha | 魔法少女奈叶
[DOMAIN:标签] [CAT:二次元角色/作品] princess_connect! | 公主连结！
[DOMAIN:标签] [CAT:二次元角色/作品] saigyouji_yuyuko | 西行寺幽幽子
[DOMAIN:标签] [CAT:二次元角色/作品] suzumiya_haruhi_no_yuuutsu | 凉宫春日的忧郁
[DOMAIN:标签] [CAT:二次元角色/作品] zenless_zone_zero | 绝区零
[DOMAIN:标签] [CAT:二次元角色/作品] toaru_majutsu_no_index | 魔法禁书目录
[DOMAIN:标签] [CAT:二次元角色/作品] idolmaster_million_live! | 偶像大师 百万现场！
[DOMAIN:标签] [CAT:二次元角色/作品] world_witches_series | 世界魔女系列
[DOMAIN:标签] [CAT:二次元角色/作品] fate/extra | 命运/extra
[DOMAIN:标签] [CAT:二次元角色/角色] mario_(series) | 马力欧（系列）
[DOMAIN:标签] [CAT:二次元角色/作品] inubashiri_momiji | 犬走椛
[DOMAIN:标签] [CAT:二次元角色/角色] xenoblade_chronicles_(series) | 异度神剑（系列）
[DOMAIN:标签] [CAT:二次元角色/作品] dragon_ball | 龙珠
[DOMAIN:标签] [CAT:二次元角色/角色] vision_(genshin_impact) | 命座（原神）
[DOMAIN:标签] [CAT:二次元角色/角色] kaga_(kancolle) | 加贺（舰队Collection）
[DOMAIN:标签] [CAT:二次元角色/作品] pokemon_sv | 宝可梦 朱/紫
[DOMAIN:标签] [CAT:二次元角色/作品] kagamine_rin | 镜音铃
[DOMAIN:标签] [CAT:二次元角色/作品] bocchi_the_rock! | 孤独摇滚！
[DOMAIN:标签] [CAT:二次元角色/作品] bang_dream! | BanG Dream!
[DOMAIN:标签] [CAT:二次元角色/作品] love_live!_sunshine!! | LoveLive! 阳光!!
[DOMAIN:标签] [CAT:二次元角色/作品] yakumo_ran | 八云蓝
[DOMAIN:标签] [CAT:二次元角色/角色] pokemon_(anime) | 宝可梦（动画）
[DOMAIN:标签] [CAT:二次元角色/作品] kaenbyou_rin | 火焰猫燐
[DOMAIN:标签] [CAT:二次元角色/角色] konpaku_youmu_(ghost) | 魂魄妖梦（幽灵）
[DOMAIN:标签] [CAT:二次元角色/作品] rumia | 露米娅
[DOMAIN:标签] [CAT:二次元角色/角色] sonic_the_hedgehog_(comics) | 索尼克（漫画）
[DOMAIN:标签] [CAT:二次元角色/作品] pokemon_sm | 宝可梦日月
[DOMAIN:标签] [CAT:二次元角色/作品] moriya_suwako | 守矢诹访子
[DOMAIN:标签] [CAT:二次元角色/作品] fate/apocrypha | Fate/Apocrypha
[DOMAIN:标签] [CAT:二次元角色/角色] sensei_(blue_archive) | 老师（蔚蓝档案）
[DOMAIN:标签] [CAT:二次元角色/角色] shimakaze_(kancolle) | 岛风（舰队Collection）
[DOMAIN:标签] [CAT:二次元角色/作品] inkling | 斯普拉遁
[DOMAIN:标签] [CAT:二次元角色/作品] miki_sayaka | 美树沙耶香
[DOMAIN:标签] [CAT:二次元角色/角色] ganyu_(genshin_impact) | 甘雨（原神）
[DOMAIN:标签] [CAT:二次元角色/作品] chen | 辰
[DOMAIN:标签] [CAT:二次元角色/作品] koopa | 库巴
[DOMAIN:标签] [CAT:二次元角色/作品] reiuji_utsuho | 灵乌路空
[DOMAIN:标签] [CAT:二次元角色/作品] miles_prower | 迈尔斯·普劳尔
[DOMAIN:标签] [CAT:二次元角色/作品] kazami_yuuka | 风见幽香
[DOMAIN:标签] [CAT:二次元角色/角色] warrior_of_light_(ff14) | 光之战士（最终幻想14）
[DOMAIN:标签] [CAT:二次元角色/角色] saber_(fate) | Saber（命运系列）
[DOMAIN:标签] [CAT:二次元角色/作品] mash_kyrielight | 玛修·基列莱特
[DOMAIN:标签] [CAT:二次元角色/作品] generation_9_pokemon | 第九世代宝可梦
[DOMAIN:标签] [CAT:二次元角色/作品] xenoblade_chronicles_2 | 异度神剑2
[DOMAIN:标签] [CAT:二次元角色/角色] hibiki_(kancolle) | 响（舰队Collection）
[DOMAIN:标签] [CAT:二次元角色/作品] overwatch | 守望先锋
[DOMAIN:标签] [CAT:二次元角色/作品] kono_subarashii_sekai_ni_shukufuku_wo! | 为美好的世界献上祝福！
[DOMAIN:标签] [CAT:二次元角色/作品] tatara_kogasa | 多多良小伞
[DOMAIN:标签] [CAT:二次元角色/作品] kawashiro_nitori | 河城荷取
[DOMAIN:标签] [CAT:二次元角色/角色] naruto_(series) | 火影忍者（系列）
[DOMAIN:标签] [CAT:二次元角色/角色] shigure_(kancolle) | 时雨（舰队Collection）
[DOMAIN:标签] [CAT:二次元角色/作品] sword_art_online | 刀剑神域
[DOMAIN:标签] [CAT:二次元角色/作品] touken_ranbu | 刀剑乱舞
[DOMAIN:标签] [CAT:二次元角色/作品] duel_monster | 决斗怪兽
[DOMAIN:标签] [CAT:二次元角色/角色] tales_of_(series) | 传说系列
[DOMAIN:标签] [CAT:二次元角色/作品] monster_hunter | 怪物猎人
[DOMAIN:标签] [CAT:二次元角色/作品] kamishirasawa_keine | 上白泽慧音
[DOMAIN:标签] [CAT:二次元角色/角色] monogatari_(series) | 物语系列
[DOMAIN:标签] [CAT:二次元角色/作品] strike_witches | 强袭魔女
[DOMAIN:标签] [CAT:二次元角色/作品] fire_emblem_fates | 火焰纹章if
[DOMAIN:标签] [CAT:二次元角色/作品] hinanawi_tenshi | 比那名居天子
[DOMAIN:标签] [CAT:二次元角色/作品] ragnarok_online | 仙境传说
[DOMAIN:标签] [CAT:二次元角色/作品] sakura_kyoko | 佐仓杏子
[DOMAIN:标签] [CAT:二次元角色/角色] lumine_(genshin_impact) | 荧（原神）
[DOMAIN:标签] [CAT:二次元角色/作品] fate/zero | 命运/零
[DOMAIN:标签] [CAT:二次元角色/作品] tomoe_mami | 巴麻美
[DOMAIN:标签] [CAT:二次元角色/作品] raiden_shogun | 雷电将军
[DOMAIN:标签] [CAT:二次元角色/作品] bishoujo_senshi_sailor_moon | 美少女战士
[DOMAIN:标签] [CAT:二次元角色/作品] link | 林克
[DOMAIN:标签] [CAT:二次元角色/作品] jujutsu_kaisen | 咒术回战
[DOMAIN:标签] [CAT:二次元角色/作品] houraisan_kaguya | 蓬莱山辉夜
[DOMAIN:标签] [CAT:二次元角色/作品] mystia_lorelei | 米斯蒂娅·萝蕾拉
[DOMAIN:标签] [CAT:二次元角色/作品] toaru_kagaku_no_railgun | 某科学的超电磁炮
[DOMAIN:标签] [CAT:二次元角色/作品] souryuu_asuka_langley | 惣流·明日香·兰格雷
[DOMAIN:标签] [CAT:二次元角色/作品] love_live!_nijigasaki_high_school_idol_club | Love Live! 虹咲学园学园偶像同好会
[DOMAIN:标签] [CAT:二次元角色/作品] dragon_quest | 勇者斗恶龙
[DOMAIN:标签] [CAT:二次元角色/作品] idolmaster_cinderella_girls_starlight_stage | 偶像大师 灰姑娘女孩 星光舞台
[DOMAIN:标签] [CAT:二次元角色/作品] gochuumon_wa_usagi_desu_ka? | 请问您今天要来点兔子吗？
[DOMAIN:标签] [CAT:二次元角色/作品] pokemon_bw | 宝可梦 黑/白
[DOMAIN:标签] [CAT:二次元角色/角色] mega_man_(series) | 洛克人（系列）
[DOMAIN:标签] [CAT:二次元角色/作品] link!_like!_love_live! | Link! Like! Love Live!
[DOMAIN:标签] [CAT:二次元角色/作品] overwatch_1 | 守望先锋1
[DOMAIN:标签] [CAT:二次元角色/作品] project_sekai | 世界计划
[DOMAIN:标签] [CAT:二次元角色/作品] sousou_no_frieren | 葬送的芙莉莲
[DOMAIN:标签] [CAT:二次元角色/作品] inaba_tewi | 因幡帝
[DOMAIN:标签] [CAT:二次元角色/作品] ibuki_suika | 伊吹萃香
[DOMAIN:标签] [CAT:二次元角色/作品] houshou_marine | 宝钟玛琳
[DOMAIN:标签] [CAT:二次元角色/作品] the_king_of_fighters | 拳皇
[DOMAIN:标签] [CAT:二次元角色/角色] kongou_(kancolle) | 金刚（舰队Collection）
[DOMAIN:标签] [CAT:二次元角色/作品] gawr_gura | 噶呜·古拉
[DOMAIN:标签] [CAT:二次元角色/作品] kagamine_len | 镜音连
[DOMAIN:标签] [CAT:二次元角色/作品] nazrin | 纳兹琳
[DOMAIN:标签] [CAT:二次元角色/作品] code_geass | 反叛的鲁路修
[DOMAIN:标签] [CAT:二次元角色/作品] limbus_company | 林博斯公司
[DOMAIN:标签] [CAT:二次元角色/角色] fujimaru_ritsuka_(male) | 藤丸立香（男性）
[DOMAIN:标签] [CAT:二次元角色/作品] nijisanji_en | 彩虹社EN
[DOMAIN:标签] [CAT:二次元角色/角色] nier_(series) | 尼尔（系列）
[DOMAIN:标签] [CAT:二次元角色/作品] fire_emblem_awakening | 火焰纹章：觉醒
[DOMAIN:标签] [CAT:二次元角色/作品] hijiri_byakuren | 圣白莲
[DOMAIN:标签] [CAT:二次元角色/角色] inazuma_(kancolle) | 电（舰队Collection）
[DOMAIN:标签] [CAT:二次元角色/作品] bleach | 死神
[DOMAIN:标签] [CAT:二次元角色/作品] inkling_player_character | 斯普拉遁玩家角色
[DOMAIN:标签] [CAT:二次元角色/作品] lucky_star | 幸运星
[DOMAIN:标签] [CAT:二次元角色/角色] neptune_(series) | 涅普缇努（系列）
[DOMAIN:标签] [CAT:二次元角色/角色] tamamo_(fate) | 玉藻前（Fate系列）
[DOMAIN:标签] [CAT:二次元角色/作品] kimetsu_no_yaiba | 鬼灭之刃
[DOMAIN:标签] [CAT:二次元角色/角色] akagi_(kancolle) | 赤城（舰队Collection）
[DOMAIN:标签] [CAT:二次元角色/角色] fujimaru_ritsuka_(female) | 藤丸立香（女性）
[DOMAIN:标签] [CAT:二次元角色/作品] houjuu_nue | 封兽鵺
[DOMAIN:标签] [CAT:二次元角色/作品] saibou_shinkyoku | 细胞神曲
[DOMAIN:标签] [CAT:二次元角色/作品] shingeki_no_kyojin | 进击的巨人
[DOMAIN:标签] [CAT:二次元角色/角色] sonic_the_hedgehog_(archie) | 刺猬索尼克（Archie漫画）
[DOMAIN:标签] [CAT:二次元角色/作品] gotoh_hitori | 后藤独
[DOMAIN:标签] [CAT:二次元角色/作品] spy_x_family | 间谍过家家
[DOMAIN:标签] [CAT:二次元角色/作品] pikachu | 皮卡丘
[DOMAIN:标签] [CAT:二次元角色/角色] touhou_(pc-98) | 东方Project（PC-98）
[DOMAIN:标签] [CAT:二次元角色/作品] pokemon_dppt | 宝可梦钻石珍珠白金
[DOMAIN:标签] [CAT:二次元角色/作品] tokyo_afterschool_summoners | 东京放课后召唤师
[DOMAIN:标签] [CAT:二次元角色/角色] akemi_homura_(magical_girl) | 晓美焰（魔法少女）
[DOMAIN:标签] [CAT:二次元角色/角色] yuuka_(blue_archive) | 优香（蔚蓝档案）
[DOMAIN:标签] [CAT:二次元角色/角色] jeanne_d'arc_alter_(fate) | 贞德〔Alter〕（Fate）
[DOMAIN:标签] [CAT:二次元角色/作品] princess_zelda | 塞尔达公主
[DOMAIN:标签] [CAT:二次元角色/作品] megurine_luka | 巡音流歌
[DOMAIN:标签] [CAT:二次元角色/角色] hu_tao_(genshin_impact) | 胡桃（原神）
[DOMAIN:标签] [CAT:二次元角色/作品] mahou_shoujo_lyrical_nanoha | 魔法少女奈叶
[DOMAIN:标签] [CAT:二次元角色/作品] yasaka_kanako | 八坂神奈子
[DOMAIN:标签] [CAT:二次元角色/作品] yagokoro_eirin | 八意永琳
[DOMAIN:标签] [CAT:二次元角色/角色] asuna_(blue_archive) | 明日奈（蔚蓝档案）
[DOMAIN:标签] [CAT:二次元角色/作品] tifa_lockhart | 蒂法·洛克哈特
[DOMAIN:标签] [CAT:二次元角色/作品] nier:automata | automata:尼尔：机械纪元
[DOMAIN:标签] [CAT:二次元角色/角色] yuudachi_(kancolle) | 夕立（舰队Collection）
[DOMAIN:标签] [CAT:二次元角色/角色] tenryuu_(kancolle) | 天龙（舰队Collection）
[DOMAIN:标签] [CAT:二次元角色/作品] mahou_shoujo_lyrical_nanoha_strikers | 魔法少女奈叶Strikers
[DOMAIN:标签] [CAT:二次元角色/作品] persona_4 | 女神异闻录4
[DOMAIN:标签] [CAT:二次元角色/作品] mizuhashi_parsee | 水桥帕露西
[DOMAIN:标签] [CAT:二次元角色/角色] fubuki_(kancolle) | 吹雪（舰队Collection）
[DOMAIN:标签] [CAT:二次元角色/角色] sonic_(series) | 索尼克（系列）
[DOMAIN:标签] [CAT:二次元角色/角色] scaramouche_(genshin_impact) | 斯卡拉姆齐（原神）
[DOMAIN:标签] [CAT:二次元角色/角色] abigail_williams_(fate) | 阿比盖尔·威廉姆斯（Fate）
[DOMAIN:标签] [CAT:二次元角色/作品] go-toubun_no_hanayome | 五等分的新娘
[DOMAIN:标签] [CAT:二次元角色/作品] higurashi_no_naku_koro_ni | 寒蝉鸣泣之时
[DOMAIN:标签] [CAT:二次元角色/作品] dungeon_meshi | 迷宫饭
[DOMAIN:标签] [CAT:二次元角色/角色] ikazuchi_(kancolle) | 雷（舰队Collection）
[DOMAIN:标签] [CAT:二次元角色/角色] inazuma_eleven_(series) | 闪电十一人（系列）
[DOMAIN:标签] [CAT:二次元角色/作品] rwby | RWBY
[DOMAIN:标签] [CAT:二次元角色/作品] shirakami_fubuki | 白上吹雪
[DOMAIN:标签] [CAT:二次元角色/作品] inkling_girl | 乌贼娘
[DOMAIN:标签] [CAT:二次元角色/作品] stardust_crusaders | 星尘斗士
[DOMAIN:标签] [CAT:二次元角色/角色] doodle_sensei_(blue_archive) | 涂鸦老师（蔚蓝档案）
[DOMAIN:标签] [CAT:二次元角色/作品] digimon | 数码宝贝
[DOMAIN:标签] [CAT:二次元角色/作品] dragon_ball_z | 龙珠Z
[DOMAIN:标签] [CAT:二次元角色/作品] persona_3 | 女神异闻录3
[DOMAIN:标签] [CAT:二次元角色/作品] gardevoir | 沙奈朵
[DOMAIN:标签] [CAT:二次元角色/作品] rebuild_of_evangelion | 福音战士新剧场版
[DOMAIN:标签] [CAT:二次元角色/作品] umineko_no_naku_koro_ni | 海猫鸣泣之时
[DOMAIN:标签] [CAT:二次元角色/作品] fate/extra_ccc | Fate/Extra CCC
[DOMAIN:标签] [CAT:二次元角色/作品] kagiyama_hina | 键山雏
[DOMAIN:标签] [CAT:二次元角色/作品] hoshimachi_suisei | 星街彗星
[DOMAIN:标签] [CAT:二次元角色/角色] akatsuki_(kancolle) | 晓（舰队Collection）
[DOMAIN:标签] [CAT:二次元角色/作品] tengen_toppa_gurren_lagann | 天元突破 红莲螺岩
[DOMAIN:标签] [CAT:二次元角色/角色] zuikaku_(kancolle) | 瑞鹤（舰队Collection）
[DOMAIN:标签] [CAT:二次元角色/作品] akiyama_mio | 秋山澪
[DOMAIN:标签] [CAT:二次元角色/作品] suzumiya_haruhi | 凉宫春日
[DOMAIN:标签] [CAT:二次元角色/作品] darkstalkers | 恶魔战士
[DOMAIN:标签] [CAT:二次元角色/作品] toyosatomimi_no_miko | 丰聪耳神子
[DOMAIN:标签] [CAT:二次元角色/作品] rozen_maiden | 蔷薇少女
[DOMAIN:标签] [CAT:二次元角色/作品] tsukihime | 月姬
[DOMAIN:标签] [CAT:二次元角色/角色] shiroko_(blue_archive) | 白子（蔚蓝档案）
[DOMAIN:标签] [CAT:二次元角色/角色] hamakaze_(kancolle) | 滨风（舰队Collection）
[DOMAIN:标签] [CAT:二次元角色/角色] nero_claudius_(fate) | 尼禄·克劳狄乌斯（Fate）
[DOMAIN:标签] [CAT:二次元角色/作品] macross | 超时空要塞
[DOMAIN:标签] [CAT:二次元角色/作品] senran_kagura | 闪乱神乐
[DOMAIN:标签] [CAT:二次元角色/作品] splatoon | 斯普拉遁
[DOMAIN:标签] [CAT:二次元角色/作品] nanami_chiaki | 七海千秋
[DOMAIN:标签] [CAT:二次元角色/作品] pokemon_bw2 | 宝可梦黑白2
[DOMAIN:标签] [CAT:二次元角色/作品] senki_zesshou_symphogear | 战姬绝唱Symphogear
[DOMAIN:标签] [CAT:二次元角色/作品] bang_dream!_it's_mygo!!!!! | BanG Dream! It's MyGO!!!!!
[DOMAIN:标签] [CAT:二次元角色/作品] yae_miko | 八重神子
[DOMAIN:标签] [CAT:二次元角色/角色] haruna_(kancolle) | 榛名（舰队Collection）
[DOMAIN:标签] [CAT:二次元角色/作品] fate/kaleid_liner_prisma_illya | Fate/kaleid liner 魔法少女☆伊莉雅
[DOMAIN:标签] [CAT:二次元角色/角色] aether_(genshin_impact) | 空（原神）
[DOMAIN:标签] [CAT:二次元角色/角色] hina_(blue_archive) | 阳奈（蔚蓝档案）
[DOMAIN:标签] [CAT:二次元角色/角色] kirby_(series) | 卡比（系列）
[DOMAIN:标签] [CAT:二次元角色/作品] kamen_rider | 假面骑士
[DOMAIN:标签] [CAT:二次元角色/角色] nagato_(kancolle) | 长门（舰队Collection）
[DOMAIN:标签] [CAT:二次元角色/作品] morichika_rinnosuke | 森近霖之助
[DOMAIN:标签] [CAT:二次元角色/作品] hoshiguma_yuugi | 星熊勇仪
[DOMAIN:标签] [CAT:二次元角色/作品] miqo'te | 猫魅族
[DOMAIN:标签] [CAT:二次元角色/角色] monster_hunter_(series) | 怪物猎人（系列）
[DOMAIN:标签] [CAT:二次元角色/角色] gap_(touhou) | 间隙（东方Project）
[DOMAIN:标签] [CAT:二次元角色/作品] cloud_strife | 克劳德·斯特莱夫
[DOMAIN:标签] [CAT:二次元角色/作品] nishizumi_miho | 西住美穗
[DOMAIN:标签] [CAT:二次元角色/作品] fate_testarossa | 菲特·泰斯特罗莎
[DOMAIN:标签] [CAT:二次元角色/角色] trailblazer_(honkai:_star_rail) | 开拓者（崩坏：星穹铁道）
[DOMAIN:标签] [CAT:二次元角色/角色] kashima_(kancolle) | 鹿岛（舰队Collection）
[DOMAIN:标签] [CAT:二次元角色/角色] shigure_kai_ni_(kancolle) | 时雨改二（舰队Collection）
[DOMAIN:标签] [CAT:二次元角色/作品] daiyousei | 大妖精
[DOMAIN:标签] [CAT:二次元角色/角色] furina_(genshin_impact) | 芙宁娜（原神）
[DOMAIN:标签] [CAT:二次元角色/作品] usami_renko | 宇佐见莲子
[DOMAIN:标签] [CAT:二次元角色/作品] mononobe_no_futo | 物部布都
[DOMAIN:标签] [CAT:二次元角色/作品] wriggle_nightbug | 莉格露·奈特巴格
[DOMAIN:标签] [CAT:二次元角色/作品] usada_pekora | 兔田佩克拉
[DOMAIN:标签] [CAT:二次元角色/作品] misaka_mikoto | 御坂美琴
[DOMAIN:标签] [CAT:二次元角色/角色] kaname_madoka_(magical_girl) | 鹿目圆（魔法少女）
[DOMAIN:标签] [CAT:二次元角色/角色] zhongli_(genshin_impact) | 钟离（原神）
[DOMAIN:标签] [CAT:二次元角色/作品] shiki_eiki | 四季映姬
[DOMAIN:标签] [CAT:二次元角色/作品] smile_precure! | 微笑光之美少女！
[DOMAIN:标签] [CAT:二次元角色/作品] tohsaka_rin | 远坂凛
[DOMAIN:标签] [CAT:二次元角色/角色] manjuu_(azur_lane) | 蛮啾（碧蓝航线）
[DOMAIN:标签] [CAT:二次元角色/作品] gundam_suisei_no_majo | 高达水星之魔女
[DOMAIN:标签] [CAT:二次元角色/作品] maribel_hearn | 玛艾露贝莉·赫恩
[DOMAIN:标签] [CAT:二次元角色/作品] onozuka_komachi | 小野冢小町
[DOMAIN:标签] [CAT:二次元角色/作品] nagato_yuki | 长门有希
[DOMAIN:标签] [CAT:二次元角色/作品] nakano_azusa | 中野梓
[DOMAIN:标签] [CAT:二次元角色/作品] illyasviel_von_einzbern | 伊莉雅斯菲尔·冯·爱因兹贝伦
[DOMAIN:标签] [CAT:二次元角色/角色] jeanne_d'arc_alter_(avenger)_(fate) | 贞德〔Alter〕（复仇者）（Fate）
[DOMAIN:标签] [CAT:二次元角色/角色] atelier_(series) | 工作室（系列）
[DOMAIN:标签] [CAT:二次元角色/作品] naruto | 火影忍者
[DOMAIN:标签] [CAT:二次元角色/作品] pokemon_xy | 精灵宝可梦XY
[DOMAIN:标签] [CAT:二次元角色/角色] suzuya_(kancolle) | 铃谷（舰队Collection）
[DOMAIN:标签] [CAT:二次元角色/作品] ayanami_rei | 绫波丽
[DOMAIN:标签] [CAT:二次元角色/作品] kyubey | 丘比
[DOMAIN:标签] [CAT:二次元角色/作品] imaizumi_kagerou | 今津影狼
[DOMAIN:标签] [CAT:二次元角色/作品] nekomata | 猫又
