[DOMAIN:标签] [CAT:物品/动物] mammal | 哺乳动物
[DOMAIN:标签] [CAT:物品/其他物品] feathers | 羽毛
[DOMAIN:标签] [CAT:物品/植物] red_flower | 红花
[DOMAIN:标签] [CAT:物品/植物] plant | 植物
[DOMAIN:标签] [CAT:物品/动物] mustelid | 鼬科
[DOMAIN:标签] [CAT:物品/动物] bovine | 牛科
[DOMAIN:标签] [CAT:物品/餐具] bottle | 瓶子
[DOMAIN:标签] [CAT:物品/其他物品] stuffed_animal | 毛绒玩具
[DOMAIN:标签] [CAT:物品/动物] bug | 昆虫
[DOMAIN:标签] [CAT:物品/食物] beverage | 饮品
[DOMAIN:标签] [CAT:物品/成人玩具] bdsm | BDSM
[DOMAIN:标签] [CAT:物品/武器] katana | 武士刀
[DOMAIN:标签] [CAT:物品/武器] knife | 刀具
[DOMAIN:标签] [CAT:物品/动物] digimon_(species) | 数码兽（物种）
[DOMAIN:标签] [CAT:物品/动物] bat | 蝙蝠
[DOMAIN:标签] [CAT:物品/武器] staff | 工作人员
[DOMAIN:标签] [CAT:物品/植物] pink_flower | 粉色花朵
[DOMAIN:标签] [CAT:物品/其他物品] bondage | 束缚
[DOMAIN:标签] [CAT:物品/其他物品] towel | 毛巾
[DOMAIN:标签] [CAT:物品/乐器] instrument | 乐器
[DOMAIN:标签] [CAT:物品/武器] polearm | 长柄武器
[DOMAIN:标签] [CAT:物品/动物] mythological_canine | 神话犬类
[DOMAIN:标签] [CAT:物品/植物] cherry_blossoms | 樱花
[DOMAIN:标签] [CAT:物品/其他物品] box | 箱子
[DOMAIN:标签] [CAT:物品/植物] butterfly | 蝴蝶
[DOMAIN:标签] [CAT:物品/其他物品] crescent | 新月
[DOMAIN:标签] [CAT:物品/食物] candy | 糖果
[DOMAIN:标签] [CAT:物品/数码设备] smartphone | 智能手机
[DOMAIN:标签] [CAT:物品/乐器] musical_note | 音符
[DOMAIN:标签] [CAT:物品/武器] sheath | 刀鞘
[DOMAIN:标签] [CAT:物品/其他物品] rope | 绳索
[DOMAIN:标签] [CAT:物品/成人玩具] sex_toy | 性玩具
[DOMAIN:标签] [CAT:物品/其他物品] microphone | 麦克风
[DOMAIN:标签] [CAT:物品/其他物品] vehicle | 载具
[DOMAIN:标签] [CAT:物品/动物] eulipotyphlan | 劳亚食虫目
[DOMAIN:标签] [CAT:物品/动物] mouse | 老鼠
[DOMAIN:标签] [CAT:排除/媒体噪音] logo | 商标
[DOMAIN:标签] [CAT:物品/其他物品] o-ring | O形环
[DOMAIN:标签] [CAT:物品/其他物品] motor_vehicle | 机动车辆
[DOMAIN:标签] [CAT:物品/餐具] plate | 餐盘
[DOMAIN:标签] [CAT:物品/动物] insect | 昆虫
[DOMAIN:标签] [CAT:物品/其他物品] hand_fan | 团扇
[DOMAIN:标签] [CAT:物品/植物] blue_flower | 蓝色花朵
[DOMAIN:标签] [CAT:物品/其他物品] spikes | 尖刺
[DOMAIN:标签] [CAT:物品/其他物品] mecha | 机甲
[DOMAIN:标签] [CAT:物品/武器] rifle | 步枪
[DOMAIN:标签] [CAT:物品/其他物品] tentacles | 触手
[DOMAIN:标签] [CAT:物品/其他物品] desk | 书桌
[DOMAIN:标签] [CAT:物品/动物] sciurid | 松鼠科
[DOMAIN:标签] [CAT:物品/餐具] drinking_glass | 玻璃杯
[DOMAIN:标签] [CAT:物品/其他物品] ball | 球体
[DOMAIN:标签] [CAT:物品/其他物品] gift | 礼物
[DOMAIN:标签] [CAT:物品/武器] handgun | 手枪
[DOMAIN:标签] [CAT:物品/食物] cake | 蛋糕
[DOMAIN:标签] [CAT:物品/动物] fish | 鱼
[DOMAIN:标签] [CAT:物品/食物] alcohol | 酒精
[DOMAIN:标签] [CAT:物品/餐具] tray | 托盘
[DOMAIN:标签] [CAT:物品/成人玩具] romantic | 浪漫
[DOMAIN:标签] [CAT:物品/其他物品] swim_ring | 游泳圈
[DOMAIN:标签] [CAT:物品/其他物品] pouch | 小袋
[DOMAIN:标签] [CAT:物品/动物] musteline | 鼬科
[DOMAIN:标签] [CAT:物品/植物] yellow_flower | 黄花
[DOMAIN:标签] [CAT:物品/其他物品] bubble | 气泡
[DOMAIN:标签] [CAT:物品/成人玩具] condom | 安全套
[DOMAIN:标签] [CAT:物品/其他物品] thought_bubble | 思想气泡
[DOMAIN:标签] [CAT:物品/其他物品] cigarette | 香烟
[DOMAIN:标签] [CAT:物品/其他物品] broom | 扫帚
[DOMAIN:标签] [CAT:物品/餐具] teacup | 茶杯
[DOMAIN:标签] [CAT:物品/动物] rat | 鼠
[DOMAIN:标签] [CAT:物品/餐具] bowl | 碗
[DOMAIN:标签] [CAT:物品/学习用品] school_bag | 书包
[DOMAIN:标签] [CAT:物品/成人玩具] sex_toy_in_ass | 肛内性玩具
[DOMAIN:标签] [CAT:物品/其他物品] head_rest | 头枕
[DOMAIN:标签] [CAT:物品/植物] purple_flower | 紫花
[DOMAIN:标签] [CAT:物品/其他物品] innertube | 游泳圈
[DOMAIN:标签] [CAT:物品/餐具] drinking_straw | 吸管
[DOMAIN:标签] [CAT:物品/武器] dual_wielding | 双持武器
[DOMAIN:标签] [CAT:物品/动物] dog | 狗
[DOMAIN:标签] [CAT:物品/植物] red_rose | 红玫瑰
[DOMAIN:标签] [CAT:物品/学习用品] paper | 纸张
[DOMAIN:标签] [CAT:物品/其他物品] bouncing_balls | 弹跳球体
[DOMAIN:标签] [CAT:物品/其他物品] poke_ball | 精灵球
[DOMAIN:标签] [CAT:物品/动物] rabbit | 兔子
[DOMAIN:标签] [CAT:物品/其他物品] gold_(metal) | 黄金（金属）
[DOMAIN:标签] [CAT:物品/武器] shield | 盾牌
[DOMAIN:标签] [CAT:物品/餐具] mug | 马克杯
[DOMAIN:标签] [CAT:物品/其他物品] machinery | 机械
[DOMAIN:标签] [CAT:物品/植物] bouquet | 花束
[DOMAIN:标签] [CAT:物品/食物] lollipop | 棒棒糖
[DOMAIN:标签] [CAT:物品/其他物品] mirror | 镜子
[DOMAIN:标签] [CAT:物品/其他物品] teddy_bear | 泰迪熊
[DOMAIN:标签] [CAT:物品/其他物品] lantern | 灯笼
[DOMAIN:标签] [CAT:物品/其他物品] skull | 骷髅
[DOMAIN:标签] [CAT:物品/其他物品] rock | 岩石
[DOMAIN:标签] [CAT:物品/其他物品] urine | 尿液
[DOMAIN:标签] [CAT:物品/其他物品] sheathed | 入鞘
[DOMAIN:标签] [CAT:物品/食物] popsicle | 冰棍
[DOMAIN:标签] [CAT:物品/学习用品] open_book | 翻开书本
[DOMAIN:标签] [CAT:物品/动物] primate | 灵长类
[DOMAIN:标签] [CAT:物品/其他物品] abyssal_ship | 深海舰船
[DOMAIN:标签] [CAT:物品/其他物品] card | 卡片
[DOMAIN:标签] [CAT:物品/其他物品] crystal | 水晶
[DOMAIN:标签] [CAT:物品/餐具] can | 罐头
[DOMAIN:标签] [CAT:物品/动物] dragon | 龙
[DOMAIN:标签] [CAT:物品/其他物品] leash | 牵绳
[DOMAIN:标签] [CAT:物品/其他物品] sign | 标志
[DOMAIN:标签] [CAT:物品/其他物品] asian_mythology | 亚洲神话
[DOMAIN:标签] [CAT:物品/其他物品] unworn_hat | 未戴着的帽子
[DOMAIN:标签] [CAT:排除/媒体噪音] korean_text | 韩文
[DOMAIN:标签] [CAT:物品/餐具] spoon | 勺子
[DOMAIN:标签] [CAT:物品/动物] tree_squirrel | 树松鼠
[DOMAIN:标签] [CAT:物品/其他物品] east_asian_mythology | 东亚神话
[DOMAIN:标签] [CAT:物品/食物] ice_cream | 冰淇淋
[DOMAIN:标签] [CAT:物品/餐具] chopsticks | 筷子
[DOMAIN:标签] [CAT:物品/食物] drink | 饮料
[DOMAIN:标签] [CAT:物品/武器] spear | 长矛
[DOMAIN:标签] [CAT:物品/食物] strawberry | 草莓
[DOMAIN:标签] [CAT:物品/其他物品] arrow_(symbol) | 箭头（符号）
[DOMAIN:标签] [CAT:物品/动物] animal_focus | 动物特写
[DOMAIN:标签] [CAT:物品/乐器] music | 音乐
[DOMAIN:标签] [CAT:物品/食物] chocolate | 巧克力
[DOMAIN:标签] [CAT:物品/餐具] fork | 叉子
[DOMAIN:标签] [CAT:物品/武器] bow_(weapon) | 弓（武器）
[DOMAIN:标签] [CAT:排除/媒体噪音] page_number | 页码
[DOMAIN:标签] [CAT:物品/其他物品] ofuda | 御札
[DOMAIN:标签] [CAT:物品/成人玩具] dildo_insertion | 假阳具插入
[DOMAIN:标签] [CAT:物品/其他物品] dakimakura_(medium) | 等身抱枕（中号）
[DOMAIN:标签] [CAT:物品/其他物品] character_doll | 角色玩偶
[DOMAIN:标签] [CAT:物品/成人玩具] vibrator | 振动器
[DOMAIN:标签] [CAT:物品/数码设备] camera | 相机
[DOMAIN:标签] [CAT:物品/其他物品] door | 门
[DOMAIN:标签] [CAT:物品/其他物品] valentine | 情人节
[DOMAIN:标签] [CAT:物品/食物] apple | 苹果
[DOMAIN:标签] [CAT:物品/成人玩具] dildo | 假阳具
[DOMAIN:标签] [CAT:物品/其他物品] doll | 玩偶
[DOMAIN:标签] [CAT:物品/植物] sunflower | 向日葵
[DOMAIN:标签] [CAT:物品/动物] snake | 蛇
[DOMAIN:标签] [CAT:物品/植物] potted_plant | 盆栽
[DOMAIN:标签] [CAT:物品/其他物品] gag | 口塞
[DOMAIN:标签] [CAT:物品/其他物品] blanket | 毯子
[DOMAIN:标签] [CAT:物品/其他物品] car | 汽车
[DOMAIN:标签] [CAT:物品/动物] galliform | 鸡形目
[DOMAIN:标签] [CAT:物品/其他物品] wand | 魔杖
[DOMAIN:标签] [CAT:物品/动物] phasianid | 雉类
[DOMAIN:标签] [CAT:物品/乐器] guitar | 吉他
[DOMAIN:标签] [CAT:物品/武器] ship_turret | 舰炮
[DOMAIN:标签] [CAT:物品/学习用品] pen | 笔
[DOMAIN:标签] [CAT:物品/其他物品] aircraft | 飞行器
[DOMAIN:标签] [CAT:物品/其他物品] gift_box | 礼盒
[DOMAIN:标签] [CAT:物品/其他物品] clock | 时钟
[DOMAIN:标签] [CAT:物品/其他物品] folding_fan | 折扇
[DOMAIN:标签] [CAT:物品/其他物品] bookshelf | 书架
[DOMAIN:标签] [CAT:物品/其他物品] confetti | 五彩纸屑
[DOMAIN:标签] [CAT:物品/其他物品] basket | 篮子
[DOMAIN:标签] [CAT:物品/武器] arrow_(projectile) | 箭矢
[DOMAIN:标签] [CAT:物品/其他物品] wood | 木质
[DOMAIN:标签] [CAT:物品/其他物品] cable | 电缆
[DOMAIN:标签] [CAT:物品/乐器] eighth_note | 八分音符
[DOMAIN:标签] [CAT:物品/其他物品] glass | 玻璃
[DOMAIN:标签] [CAT:物品/其他物品] pom_pom_(cheerleading) | 彩球（啦啦队）
[DOMAIN:标签] [CAT:物品/其他物品] jack-o'-lantern | 南瓜灯
[DOMAIN:标签] [CAT:物品/其他物品] candle | 蜡烛
[DOMAIN:标签] [CAT:物品/其他物品] anchor_symbol | 锚形符号
[DOMAIN:标签] [CAT:物品/其他物品] military_vehicle | 军用载具
[DOMAIN:标签] [CAT:物品/其他物品] poke_ball_(basic) | 精灵球（基础）
[DOMAIN:标签] [CAT:物品/数码设备] controller | 手柄
[DOMAIN:标签] [CAT:物品/学习用品] school_desk | 课桌
[DOMAIN:标签] [CAT:物品/其他物品] slime | 粘液
[DOMAIN:标签] [CAT:物品/其他物品] magic | 魔法
[DOMAIN:标签] [CAT:物品/其他物品] balloon | 气球
[DOMAIN:标签] [CAT:物品/其他物品] flag | 旗帜
[DOMAIN:标签] [CAT:物品/武器] assault_rifle | 突击步枪
[DOMAIN:标签] [CAT:物品/其他物品] lamp | 灯具
[DOMAIN:标签] [CAT:物品/其他物品] id_card | 身份证
[DOMAIN:标签] [CAT:物品/食物] pocky | 百奇
[DOMAIN:标签] [CAT:物品/植物] blue_rose | 蓝玫瑰
[DOMAIN:标签] [CAT:物品/武器] cannon | 加农炮
[DOMAIN:标签] [CAT:物品/其他物品] hitodama | 人魂
[DOMAIN:标签] [CAT:物品/其他物品] bench | 长凳
[DOMAIN:标签] [CAT:排除/媒体噪音] patreon_logo | Patreon标志
[DOMAIN:标签] [CAT:物品/餐具] disposable_cup | 一次性纸杯
[DOMAIN:标签] [CAT:物品/其他物品] beachball | 沙滩球
[DOMAIN:标签] [CAT:物品/成人玩具] buttplug | 肛塞
[DOMAIN:标签] [CAT:物品/其他物品] gohei | 御币
[DOMAIN:标签] [CAT:物品/武器] scythe | 镰刀
[DOMAIN:标签] [CAT:物品/动物] gallus_(genus) | 原鸡属
[DOMAIN:标签] [CAT:物品/其他物品] bucket | 水桶
[DOMAIN:标签] [CAT:物品/其他物品] stuffed_rabbit | 毛绒兔
[DOMAIN:标签] [CAT:物品/动物] toy_dog | 玩具犬
[DOMAIN:标签] [CAT:物品/餐具] wine_glass | 葡萄酒杯
[DOMAIN:标签] [CAT:物品/其他物品] key | 钥匙
[DOMAIN:标签] [CAT:物品/动物] paw_print | 爪印
[DOMAIN:标签] [CAT:物品/其他物品] invisible_chair | 隐形椅子
[DOMAIN:标签] [CAT:物品/武器] dagger | 匕首
[DOMAIN:标签] [CAT:排除/猎奇血腥] disembodied_hand | 断手
[DOMAIN:标签] [CAT:物品/学习用品] randoseru | 硬式书包
[DOMAIN:标签] [CAT:物品/食物] bread | 面包
[DOMAIN:标签] [CAT:物品/其他物品] unworn_eyewear | 未佩戴眼镜
[DOMAIN:标签] [CAT:物品/武器] axe | 斧头
[DOMAIN:标签] [CAT:物品/其他物品] heart_of_string | 弦之心
[DOMAIN:标签] [CAT:物品/数码设备] computer | 电脑
[DOMAIN:标签] [CAT:物品/其他物品] airplane | 飞机
[DOMAIN:标签] [CAT:物品/其他物品] oil-paper_umbrella | 油纸伞
[DOMAIN:标签] [CAT:物品/餐具] teapot | 茶壶
[DOMAIN:标签] [CAT:物品/成人玩具] dildo_in_ass | 肛内假阳具
[DOMAIN:标签] [CAT:物品/食物] carrot | 胡萝卜
[DOMAIN:标签] [CAT:物品/植物] white_rose | 白玫瑰
[DOMAIN:标签] [CAT:物品/动物] frog | 青蛙
[DOMAIN:标签] [CAT:物品/其他物品] anchor | 船锚
[DOMAIN:标签] [CAT:物品/成人玩具] used_condom | 使用过的避孕套
[DOMAIN:标签] [CAT:物品/武器] scabbard | 刀鞘
[DOMAIN:标签] [CAT:物品/其他物品] rigging | 索具装置
[DOMAIN:标签] [CAT:排除/兽化非人] larger_feral | 大型野兽
[DOMAIN:标签] [CAT:物品/成人玩具] condom_wrapper | 避孕套包装
[DOMAIN:标签] [CAT:物品/其他物品] string | 细绳
[DOMAIN:标签] [CAT:物品/动物] bat_(animal) | 蝙蝠（动物）
[DOMAIN:标签] [CAT:物品/动物] black_cat | 黑猫
[DOMAIN:标签] [CAT:物品/其他物品] watercraft | 水上载具
[DOMAIN:标签] [CAT:物品/植物] pumpkin | 南瓜
[DOMAIN:标签] [CAT:物品/其他物品] photo_(object) | 照片（物体）
[DOMAIN:标签] [CAT:物品/其他物品] sack | 麻袋
[DOMAIN:标签] [CAT:物品/食物] wagashi | 和果子
[DOMAIN:标签] [CAT:物品/植物] hibiscus | 木槿花
[DOMAIN:标签] [CAT:物品/动物] animal_on_head | 头顶动物
[DOMAIN:标签] [CAT:物品/其他物品] bandaid_on_leg | 腿部创可贴
[DOMAIN:标签] [CAT:物品/其他物品] shimenawa | 注连绳
[DOMAIN:标签] [CAT:物品/植物] vines | 藤蔓
[DOMAIN:标签] [CAT:物品/其他物品] blue_gemstone | 蓝色宝石
[DOMAIN:标签] [CAT:物品/其他物品] vehicle_focus | 载具特写
[DOMAIN:标签] [CAT:物品/其他物品] handcuffs | 手铐
[DOMAIN:标签] [CAT:物品/植物] pink_rose | 粉红玫瑰
[DOMAIN:标签] [CAT:物品/食物] tea | 茶
[DOMAIN:标签] [CAT:物品/其他物品] parasol | 阳伞
[DOMAIN:标签] [CAT:物品/食物] doughnut | 甜甜圈
[DOMAIN:标签] [CAT:物品/其他物品] magatama | 勾玉
[DOMAIN:标签] [CAT:物品/乐器] cowbell | 牛铃
[DOMAIN:标签] [CAT:物品/食物] peach | 桃子
[DOMAIN:标签] [CAT:物品/其他物品] diamond_(shape) | 钻石（形状）
[DOMAIN:标签] [CAT:物品/成人玩具] sex_toy_in_pussy | 阴道玩具
[DOMAIN:标签] [CAT:物品/数码设备] monitor | 显示器
[DOMAIN:标签] [CAT:物品/其他物品] coin | 硬币
[DOMAIN:标签] [CAT:物品/其他物品] charm_(object) | 饰符
[DOMAIN:标签] [CAT:物品/植物] mushroom | 蘑菇
[DOMAIN:标签] [CAT:物品/学习用品] pencil | 铅笔
[DOMAIN:标签] [CAT:物品/其他物品] water_bottle | 水瓶
[DOMAIN:标签] [CAT:物品/其他物品] shackles | 镣铐
[DOMAIN:标签] [CAT:物品/其他物品] playing_card | 扑克牌
[DOMAIN:标签] [CAT:物品/数码设备] television | 电视机
[DOMAIN:标签] [CAT:物品/食物] drink_can | 饮料罐
[DOMAIN:标签] [CAT:物品/植物] maple_leaf | 枫叶
[DOMAIN:标签] [CAT:物品/成人玩具] strapon | 假阳具
[DOMAIN:标签] [CAT:物品/武器] arm_cannon | 手臂加农炮
[DOMAIN:标签] [CAT:物品/数码设备] handheld_game_console | 掌上游戏机
[DOMAIN:标签] [CAT:物品/数码设备] game_controller | 游戏手柄
[DOMAIN:标签] [CAT:物品/其他物品] stool | 凳子
[DOMAIN:标签] [CAT:物品/其他物品] picture_frame | 相框
[DOMAIN:标签] [CAT:物品/其他物品] pokeball | 精灵球
[DOMAIN:标签] [CAT:物品/食物] cookie | 曲奇
[DOMAIN:标签] [CAT:物品/植物] bamboo | 竹子
[DOMAIN:标签] [CAT:物品/其他物品] magic_circle | 魔法阵
[DOMAIN:标签] [CAT:物品/数码设备] earphones | 耳机
[DOMAIN:标签] [CAT:物品/其他物品] christmas_tree | 圣诞树
[DOMAIN:标签] [CAT:物品/武器] huge_weapon | 巨型武器
[DOMAIN:标签] [CAT:物品/其他物品] hammer | 锤子
[DOMAIN:标签] [CAT:物品/食物] burger | 汉堡
[DOMAIN:标签] [CAT:物品/其他物品] shell | 贝壳
[DOMAIN:标签] [CAT:物品/武器] weapon_on_back | 背载武器
[DOMAIN:标签] [CAT:物品/其他物品] syringe | 注射器
[DOMAIN:标签] [CAT:物品/其他物品] oversized_object | 巨型物体
[DOMAIN:标签] [CAT:物品/餐具] splashing | 溅水
[DOMAIN:标签] [CAT:物品/学习用品] chalkboard | 黑板
[DOMAIN:标签] [CAT:物品/其他物品] smoking_pipe | 烟斗
[DOMAIN:标签] [CAT:物品/乐器] electric_guitar | 电吉他
[DOMAIN:标签] [CAT:物品/食物] cherry | 樱桃
[DOMAIN:标签] [CAT:物品/武器] submachine_gun | 冲锋枪
[DOMAIN:标签] [CAT:物品/食物] watermelon | 西瓜
[DOMAIN:标签] [CAT:物品/食物] rice | 米饭
[DOMAIN:标签] [CAT:物品/餐具] saucer | 茶碟
[DOMAIN:标签] [CAT:物品/其他物品] scissors | 剪刀
[DOMAIN:标签] [CAT:物品/其他物品] yin_yang | 阴阳
[DOMAIN:标签] [CAT:物品/食物] coffee | 咖啡
[DOMAIN:标签] [CAT:物品/动物] horse | 马
[DOMAIN:标签] [CAT:物品/武器] baseball_bat | 棒球棍
[DOMAIN:标签] [CAT:物品/其他物品] whistle | 哨子
[DOMAIN:标签] [CAT:物品/食物] beer | 啤酒
[DOMAIN:标签] [CAT:物品/其他物品] motorcycle | 摩托车
[DOMAIN:标签] [CAT:物品/其他物品] futon | 被褥
[DOMAIN:标签] [CAT:物品/食物] egg | 蛋
[DOMAIN:标签] [CAT:物品/武器] tank | 坦克
[DOMAIN:标签] [CAT:物品/其他物品] scroll | 卷轴
[DOMAIN:标签] [CAT:物品/武器] torpedo | 鱼雷
[DOMAIN:标签] [CAT:物品/食物] cooking | 烹饪
[DOMAIN:标签] [CAT:物品/其他物品] cushion | 坐垫
[DOMAIN:标签] [CAT:物品/餐具] sakazuki | 杯
[DOMAIN:标签] [CAT:物品/其他物品] floating_object | 漂浮物
[DOMAIN:标签] [CAT:物品/其他物品] shanghai_doll | 上海人偶
[DOMAIN:标签] [CAT:物品/其他物品] shelf | 搁架
[DOMAIN:标签] [CAT:物品/其他物品] tape | 胶带
[DOMAIN:标签] [CAT:物品/数码设备] infection_monitor_(arknights) | 感染监测器（明日方舟）
[DOMAIN:标签] [CAT:物品/食物] wine | 葡萄酒
[DOMAIN:标签] [CAT:物品/学习用品] clipboard | 写字板
[DOMAIN:标签] [CAT:物品/武器] sniper_rifle | 狙击步枪
[DOMAIN:标签] [CAT:物品/学习用品] book_stack | 书堆
[DOMAIN:标签] [CAT:物品/动物] digimon_(creature) | 数码兽（生物）
[DOMAIN:标签] [CAT:物品/动物] blue_butterfly | 蓝蝴蝶
[DOMAIN:标签] [CAT:物品/成人玩具] ball_gag | 口球
[DOMAIN:标签] [CAT:物品/其他物品] unworn_panties | 未穿着内裤
[DOMAIN:标签] [CAT:物品/其他物品] cardboard_box | 纸箱
[DOMAIN:标签] [CAT:物品/植物] orange_flower | 橙色花朵
[DOMAIN:标签] [CAT:物品/其他物品] red_gemstone | 红色宝石
[DOMAIN:标签] [CAT:物品/其他物品] beach_umbrella | 沙滩伞
[DOMAIN:标签] [CAT:物品/其他物品] prosthesis | 义肢
[DOMAIN:标签] [CAT:物品/其他物品] robot_joints | 机器人关节
[DOMAIN:标签] [CAT:物品/其他物品] american_flag | 美国国旗
[DOMAIN:标签] [CAT:物品/植物] lily_(flower) | 百合花
[DOMAIN:标签] [CAT:排除/猎奇血腥] meat | 肉类
[DOMAIN:标签] [CAT:物品/其他物品] utility_pole | 电线杆
[DOMAIN:标签] [CAT:物品/数码设备] laptop | 笔记本电脑
[DOMAIN:标签] [CAT:排除/媒体噪音] weibo_logo | 微博标识
[DOMAIN:标签] [CAT:物品/其他物品] orb | 光球
[DOMAIN:标签] [CAT:物品/其他物品] broken | 破损
[DOMAIN:标签] [CAT:物品/其他物品] vase | 花瓶
[DOMAIN:标签] [CAT:物品/其他物品] suitcase | 手提箱
[DOMAIN:标签] [CAT:物品/其他物品] poster | 海报
[DOMAIN:标签] [CAT:物品/其他物品] paper_lantern | 纸灯笼
[DOMAIN:标签] [CAT:物品/其他物品] swivel_chair | 转椅
[DOMAIN:标签] [CAT:物品/植物] black_flower | 黑色花朵
[DOMAIN:标签] [CAT:物品/动物] mouse_(animal) | 老鼠（动物）
[DOMAIN:标签] [CAT:物品/食物] cake_slice | 蛋糕切片
[DOMAIN:标签] [CAT:物品/其他物品] shopping_bag | 购物袋
[DOMAIN:标签] [CAT:物品/其他物品] explosive | 爆炸
[DOMAIN:标签] [CAT:物品/成人玩具] dildo_in_pussy | 阴道按摩棒
[DOMAIN:标签] [CAT:物品/食物] dango | 团子
[DOMAIN:标签] [CAT:物品/食物] sake | 清酒
[DOMAIN:标签] [CAT:物品/数码设备] interface_headset | 接口头戴设备
[DOMAIN:标签] [CAT:物品/动物] cow_tail | 牛尾
[DOMAIN:标签] [CAT:物品/食物] ice_cream_cone | 甜筒冰淇淋
[DOMAIN:标签] [CAT:物品/食物] noodles | 面条
[DOMAIN:标签] [CAT:物品/其他物品] whip | 鞭子
[DOMAIN:标签] [CAT:物品/其他物品] cane | 手杖
[DOMAIN:标签] [CAT:物品/其他物品] chess_piece | 国际象棋棋子
[DOMAIN:标签] [CAT:物品/乐器] beamed_eighth_notes | 带符尾的八分音符
[DOMAIN:标签] [CAT:物品/其他物品] brown_bag | 棕色纸袋
[DOMAIN:标签] [CAT:物品/其他物品] school_chair | 课桌椅
[DOMAIN:标签] [CAT:物品/动物] fox | 狐狸
[DOMAIN:标签] [CAT:物品/动物] wolf | 狼
[DOMAIN:标签] [CAT:物品/动物] shiny_pokemon | 闪光宝可梦
[DOMAIN:标签] [CAT:物品/动物] animal_on_shoulder | 肩部动物
[DOMAIN:标签] [CAT:物品/动物] penguin | 企鹅
[DOMAIN:标签] [CAT:物品/其他物品] brush | 刷子
[DOMAIN:标签] [CAT:物品/学习用品] notebook | 笔记本
[DOMAIN:标签] [CAT:物品/食物] onigiri | 饭团
[DOMAIN:标签] [CAT:物品/食物] heart-shaped_food | 心形食物
[DOMAIN:标签] [CAT:物品/植物] rose_(flower) | 玫瑰（花卉）
